,Survived,Pclass,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Sex_female,Sex_male
116,0,2,29.0,1,0,21.0,0,1
94,0,3,22.0,0,0,8.05,0,1
864,0,3,23.0,0,0,9.5,0,1
131,0,3,47.0,1,0,14.5,1,0
95,0,1,71.0,0,0,34.6542,0,1
555,1,1,39.0,1,1,79.65,1,0
525,0,3,39.0,0,0,7.925,0,1
465,0,3,22.0,0,0,7.725,0,1
859,0,3,14.0,8,2,69.55,1,0
103,0,3,37.0,2,0,7.925,0,1
140,1,3,22.0,0,0,7.75,1,0
535,0,3,69.0,0,0,14.5,0,1
626,0,3,18.0,0,0,7.7333,0,1
375,0,1,27.0,0,2,211.5,0,1
155,1,3,16.0,0,0,7.7333,1,0
621,0,3,21.0,0,0,16.1,0,1
125,0,3,19.0,0,0,7.75,0,1
315,0,2,54.0,0,0,14.0,0,1
255,1,1,38.0,0,0,79.2,1,0
751,1,2,0.67,1,1,14.5,0,1
600,0,3,44.0,0,0,8.05,0,1
144,0,2,19.0,1,1,36.75,0,1
150,1,1,22.0,1,0,66.6,1,0
38,0,3,18.0,2,0,18.0,1,0
467,0,3,39.0,0,0,7.25,0,1
540,1,2,32.0,1,0,26.0,0,1
674,1,3,18.0,0,0,9.8417,1,0
292,0,3,24.0,0,0,7.8958,0,1
561,0,3,62.0,0,0,8.05,1,0
822,0,3,23.0,0,0,56.4958,0,1
341,0,2,25.0,0,0,13.0,0,1
563,0,3,19.0,0,0,7.8958,0,1
527,1,2,2.0,1,1,26.0,1,0
436,0,2,31.0,0,0,10.5,0,1
317,1,1,40.0,1,1,134.5,1,0
784,1,3,1.0,1,2,20.575,0,1
231,0,2,59.0,0,0,13.5,0,1
230,0,3,29.0,0,0,7.775,0,1
694,1,3,19.0,0,0,7.7333,1,0
734,0,3,20.0,0,0,7.8958,0,1
456,0,3,17.0,0,0,7.75,0,1
677,0,3,28.0,0,0,8.1375,1,0
89,0,3,29.0,0,0,8.05,0,1
531,0,3,30.0,0,0,8.6625,1,0
510,1,1,54.0,1,0,59.4,1,0
52,1,2,29.0,1,0,26.0,1,0
741,0,1,70.0,1,1,71.0,0,1
521,0,3,18.0,0,0,7.2292,0,1
208,1,1,40.0,0,0,31.0,0,1
651,0,3,18.0,0,0,6.75,1,0
749,0,3,23.0,0,0,7.8958,0,1
841,0,3,42.0,0,0,7.55,0,1
595,0,3,18.0,0,0,7.225,0,1
477,0,3,9.0,5,2,46.9,0,1
446,1,1,52.0,0,0,30.5,0,1
390,0,3,28.0,2,0,7.925,0,1
732,0,3,48.0,1,3,34.375,1,0
279,0,3,28.0,0,0,7.8542,0,1
731,0,3,28.5,0,0,16.1,0,1
321,1,2,22.0,1,1,29.0,1,0
171,1,3,1.0,1,1,11.1333,1,0
29,0,3,23.0,0,0,7.8958,0,1
322,0,3,20.0,8,2,69.55,0,1
663,0,2,25.0,0,0,13.0,0,1
522,0,3,40.5,0,0,7.75,0,1
135,1,1,19.0,0,2,26.2833,1,0
860,0,2,24.0,0,0,13.0,0,1
294,0,3,23.5,0,0,7.2292,0,1
611,0,3,35.0,0,0,8.05,0,1
177,0,2,30.0,0,0,13.0,0,1
305,1,1,17.0,1,0,108.9,1,0
598,0,3,42.0,0,0,7.8958,0,1
495,0,1,25.0,1,2,151.55,1,0
668,0,1,31.0,1,0,52.0,0,1
364,1,1,60.0,1,0,75.25,1,0
261,0,1,40.0,0,0,0.0,0,1
815,0,3,10.0,3,2,27.9,0,1
167,0,1,60.0,0,0,25.925,0,1
129,0,3,33.0,0,0,7.8958,0,1
503,1,2,33.0,0,2,26.0,1,0
613,0,3,34.0,1,1,14.4,0,1
426,1,3,32.0,0,0,8.05,0,1
212,0,2,30.0,0,0,13.0,0,1
31,1,1,48.0,1,0,146.5208,1,0
872,0,3,20.0,0,0,9.8458,0,1
48,0,3,18.0,1,0,17.8,1,0
290,0,2,36.0,0,0,12.875,0,1
424,1,2,19.0,0,0,26.0,1,0
666,1,1,48.0,1,0,52.0,1,0
356,1,3,22.0,0,0,7.8792,1,0
576,1,3,32.0,0,0,7.925,0,1
614,0,3,26.0,1,0,16.1,1,0
667,1,2,40.0,1,1,39.0,1,0
502,0,1,18.0,1,0,108.9,0,1
617,0,3,27.0,1,0,14.4542,0,1
517,1,1,30.0,0,0,93.5,1,0
867,1,1,47.0,1,1,52.5542,1,0
161,0,3,26.0,0,0,7.775,0,1
325,1,2,36.0,0,0,13.0,1,0
211,0,3,22.0,0,0,7.25,0,1
722,1,2,30.0,3,0,21.0,1,0
96,1,1,23.0,0,1,63.3583,0,1
201,0,3,34.0,0,0,6.4958,0,1
183,1,3,4.0,0,2,22.025,1,0
573,1,2,34.0,0,0,13.0,1,0
346,1,3,3.0,1,1,15.9,0,1
457,1,1,48.0,0,0,26.55,0,1
228,0,3,12.0,3,1,25.4667,1,0
526,0,2,23.0,2,1,11.5,0,1
113,0,3,17.0,0,0,14.4583,1,0
450,1,1,49.0,1,0,89.1042,0,1
772,0,3,20.0,0,0,7.75,0,1
636,0,3,37.0,1,0,16.1,0,1
49,0,3,7.0,4,1,39.6875,0,1
262,0,3,21.0,0,0,7.75,1,0
586,0,3,22.0,0,0,8.05,0,1
835,1,1,29.0,0,0,29.7,0,1
670,1,2,31.0,0,0,13.0,0,1
806,0,3,26.0,0,0,7.8875,0,1
180,0,2,39.0,0,0,15.05,0,1
545,0,3,33.0,1,1,20.525,0,1
834,1,3,32.0,0,0,56.4958,0,1
603,0,3,30.0,0,0,7.8958,0,1
686,1,1,15.0,0,1,211.3375,1,0
779,0,3,35.0,1,2,23.45,0,1
20,0,2,35.0,0,0,26.0,0,1
737,0,1,36.0,1,0,78.85,0,1
56,0,3,28.5,0,0,7.2292,0,1
484,0,1,58.0,0,0,29.7,0,1
414,1,2,34.0,1,1,32.5,1,0
159,0,3,44.0,0,1,16.1,0,1
190,0,2,19.0,0,0,13.0,0,1
44,0,3,30.0,0,0,8.05,0,1
627,1,1,80.0,0,0,30.0,0,1
250,0,3,29.0,1,1,10.4625,1,0
331,0,3,16.0,2,0,18.0,0,1
733,1,1,35.0,0,0,512.3292,0,1
464,0,1,56.0,0,0,26.55,0,1
2,1,3,26.0,0,0,7.925,1,0
777,1,1,17.0,1,0,57.0,1,0
880,0,3,25.0,0,0,7.05,0,1
235,0,2,44.0,1,0,26.0,0,1
240,1,3,18.0,1,0,15.5,1,0
92,0,3,26.0,1,2,20.575,0,1
403,0,2,34.0,1,0,21.0,0,1
214,1,1,31.0,1,0,113.275,1,0
115,0,3,70.5,0,0,7.75,0,1
853,1,1,51.0,0,0,26.55,0,1
607,0,3,39.0,1,5,31.275,1,0
278,0,3,65.0,0,0,7.75,0,1
592,0,3,36.0,1,1,24.15,0,1
420,0,3,28.0,1,1,14.4,1,0
442,1,1,4.0,0,2,81.8583,0,1
460,0,2,48.0,0,0,13.0,0,1
861,1,2,42.0,0,0,13.0,1,0
574,1,1,39.0,1,0,55.9,1,0
408,0,3,42.0,0,0,7.8958,0,1
760,0,3,16.0,0,0,7.775,0,1
200,0,3,17.0,8,2,69.55,0,1
618,1,1,42.0,1,0,52.5542,0,1
198,0,2,24.0,0,0,13.0,1,0
782,1,3,18.0,0,0,7.4958,1,0
811,0,1,39.0,0,0,0.0,0,1
458,0,3,34.0,0,0,8.05,0,1
726,1,1,29.0,0,0,211.3375,1,0
560,0,3,40.0,0,0,8.05,0,1
875,1,1,56.0,0,1,83.1583,1,0
105,1,3,21.0,0,0,7.65,1,0
302,0,3,28.0,0,0,8.05,0,1
878,0,3,22.0,0,0,10.5167,1,0
394,0,3,31.0,0,0,7.8542,1,0
14,0,3,14.0,0,0,7.8542,1,0
80,1,3,29.0,0,0,9.5,0,1
538,0,3,9.0,4,2,31.275,1,0
391,1,1,23.0,1,0,113.275,1,0
771,0,3,18.0,0,0,7.75,0,1
417,0,3,10.0,0,2,24.15,1,0
795,0,3,30.0,1,1,24.15,1,0
702,0,2,39.0,0,0,26.0,0,1
856,0,3,41.0,2,0,14.1083,0,1
529,0,3,17.0,1,1,7.2292,0,1
775,1,1,43.0,0,1,211.3375,1,0
260,0,1,52.0,1,1,79.65,0,1
363,0,3,30.0,0,0,7.25,0,1
141,1,3,24.0,1,0,15.85,1,0
435,0,1,64.0,1,4,263.0,0,1
273,1,1,63.0,1,0,77.9583,1,0
536,1,1,22.0,0,2,49.5,1,0
743,1,2,30.0,0,0,13.0,1,0
127,1,3,2.0,1,1,22.3583,1,0
633,0,3,32.0,0,0,7.925,0,1
381,1,1,35.0,1,0,52.0,1,0
642,1,1,48.0,1,0,76.7292,0,1
99,0,3,28.0,0,0,7.8958,1,0
590,0,3,40.0,0,2,7.75,1,0
87,1,1,23.0,3,2,263.0,1,0
500,0,3,37.0,0,0,9.5875,1,0
693,0,3,44.0,0,0,8.05,0,1
